Sl No.,Timestamp,Source,Destination,Volume,Protocol
144,2015-10-20 15:34:16 Z,10.10.10.10,10.10.10.30,2,tcp
145,2015-10-20 15:34:16 Z,10.10.10.30,10.10.10.10,4,tcp
146,2015-10-20 15:34:17 Z,10.10.10.10,10.10.10.30,2,tcp
147,2015-10-20 15:34:17 Z,10.10.10.30,10.10.10.10,4,tcp
148,2015-10-20 15:34:17 Z,10.10.10.10,10.10.10.30,2,tcp
149,2015-10-20 15:34:18 Z,10.10.10.10,10.10.10.30,2,tcp
150,2015-10-20 15:34:18 Z,10.10.10.30,10.10.10.10,4,tcp
151,2015-10-20 15:34:19 Z,10.10.10.10,10.10.10.30,2,tcp
152,2015-10-20 15:34:19 Z,10.10.10.10,10.10.10.30,2,tcp
153,2015-10-20 15:34:19 Z,10.10.10.30,10.10.10.10,4,tcp
154,2015-10-20 15:34:19 Z,10.10.10.10,10.10.10.30,2,tcp
155,2015-10-20 15:34:20 Z,10.10.10.10,10.10.10.30,2,tcp
156,2015-10-20 15:34:20 Z,10.10.10.30,10.10.10.10,4,tcp
157,2015-10-20 15:34:21 Z,10.10.10.10,10.10.10.30,2,tcp
158,2015-10-20 15:34:21 Z,10.10.10.10,10.10.10.30,2,tcp
159,2015-10-20 15:34:21 Z,10.10.10.30,10.10.10.10,4,tcp
160,2015-10-20 15:34:21 Z,10.10.10.10,10.10.10.30,2,tcp
161,2015-10-20 15:34:22 Z,10.10.10.10,10.10.10.30,2,tcp
162,2015-10-20 15:34:22 Z,192.168.89.2,8.8.8.8,1,udp
163,2015-10-20 15:34:22 Z,10.10.10.30,10.10.10.10,4,tcp
164,2015-10-20 15:34:23 Z,10.10.10.10,10.10.10.30,2,tcp
165,2015-10-20 15:34:23 Z,10.10.10.10,10.10.10.30,2,tcp
166,2015-10-20 15:34:23 Z,10.10.10.30,10.10.10.10,4,tcp
167,2015-10-20 15:34:23 Z,10.10.10.10,10.10.10.30,2,tcp
168,2015-10-20 15:34:24 Z,10.10.10.10,10.10.10.30,2,tcp
169,2015-10-20 15:34:24 Z,10.10.10.30,10.10.10.10,4,tcp
170,2015-10-20 15:34:25 Z,10.10.10.10,10.10.10.30,2,tcp
171,2015-10-20 15:34:25 Z,10.10.10.10,10.10.10.30,2,tcp
172,2015-10-20 15:34:25 Z,10.10.10.30,10.10.10.10,4,tcp
173,2015-10-20 15:34:25 Z,10.10.10.10,10.10.10.30,2,tcp
174,2015-10-20 15:34:26 Z,10.10.10.10,10.10.10.30,2,tcp
175,2015-10-20 15:34:26 Z,10.10.10.30,10.10.10.10,4,tcp
176,2015-10-20 15:34:27 Z,10.10.10.10,10.10.10.30,2,tcp
177,2015-10-20 15:34:27 Z,10.10.10.10,10.10.10.30,2,tcp
178,2015-10-20 15:34:27 Z,10.10.10.30,10.10.10.10,4,tcp
179,2015-10-20 15:34:27 Z,10.10.10.10,10.10.10.30,2,tcp
180,2015-10-20 15:34:28 Z,10.10.10.10,10.10.10.30,2,tcp
181,2015-10-20 15:34:28 Z,10.10.10.30,10.10.10.10,4,tcp
182,2015-10-20 15:34:29 Z,10.10.10.10,10.10.10.30,2,tcp
183,2015-10-20 15:34:29 Z,10.10.10.10,10.10.10.30,2,tcp
184,2015-10-20 15:34:29 Z,10.10.10.30,10.10.10.10,4,tcp
185,2015-10-20 15:34:29 Z,10.10.10.10,10.10.10.30,2,tcp
186,2015-10-20 15:34:30 Z,10.10.10.10,10.10.10.30,2,tcp
187,2015-10-20 15:34:30 Z,10.10.10.30,10.10.10.10,4,tcp
188,2015-10-20 15:34:31 Z,10.10.10.10,10.10.10.30,2,tcp
189,2015-10-20 15:34:31 Z,10.10.10.10,10.10.10.30,2,tcp
190,2015-10-20 15:34:31 Z,10.10.10.30,10.10.10.10,4,tcp
191,2015-10-20 15:34:32 Z,10.10.10.10,10.10.10.30,2,tcp
192,2015-10-20 15:34:32 Z,10.10.10.10,10.10.10.30,2,tcp
193,2015-10-20 15:34:32 Z,192.168.89.2,8.8.8.8,1,udp
194,2015-10-20 15:34:32 Z,10.10.10.30,10.10.10.10,4,tcp
195,2015-10-20 15:34:33 Z,10.10.10.10,10.10.10.30,1,tcp
196,2015-10-20 15:34:33 Z,10.10.10.10,10.10.10.30,6,tcp
197,2015-10-20 15:34:33 Z,10.10.10.30,10.10.10.10,3,tcp
198,2015-10-20 15:34:34 Z,10.10.10.10,10.10.10.30,1,tcp
199,2015-10-20 15:34:34 Z,10.10.10.10,10.10.10.30,1,tcp
200,2015-10-20 15:34:34 Z,10.10.10.30,10.10.10.10,3,tcp
201,2015-10-20 15:34:35 Z,10.10.10.10,10.10.10.30,4,tcp
202,2015-10-20 15:34:35 Z,10.10.10.10,10.10.10.30,4,tcp
203,2015-10-20 15:34:35 Z,10.10.10.30,10.10.10.10,3,tcp
204,2015-10-20 15:34:36 Z,10.10.10.10,10.10.10.30,3,tcp
205,2015-10-20 15:34:36 Z,10.10.10.10,10.10.10.30,1,tcp
206,2015-10-20 15:34:36 Z,10.10.10.30,10.10.10.10,3,tcp
207,2015-10-20 15:34:36 Z,192.168.88.52,192.168.88.1,1,udp
208,2015-10-20 15:34:37 Z,10.10.10.10,10.10.10.30,1,tcp
209,2015-10-20 15:34:37 Z,10.10.10.10,10.10.10.30,2,tcp
210,2015-10-20 15:34:37 Z,10.10.10.30,10.10.10.10,3,tcp
211,2015-10-20 15:34:38 Z,10.10.10.10,10.10.10.30,1,tcp
212,2015-10-20 15:34:38 Z,10.10.10.10,10.10.10.30,1,tcp
213,2015-10-20 15:34:38 Z,10.10.10.30,10.10.10.10,3,tcp
214,2015-10-20 15:34:39 Z,10.10.10.10,10.10.10.30,255,tcp
215,2015-10-20 15:34:39 Z,10.10.10.10,10.10.10.30,1,tcp
216,2015-10-20 15:34:39 Z,10.10.10.10,10.10.10.30,1,tcp
217,2015-10-20 15:34:39 Z,10.10.10.30,10.10.10.10,3,tcp
218,2015-10-20 15:34:40 Z,10.10.10.10,10.10.10.30,1,tcp
219,2015-10-20 15:34:40 Z,10.10.10.10,10.10.10.30,1,tcp
220,2015-10-20 15:34:40 Z,10.10.10.30,10.10.10.10,3,tcp
221,2015-10-20 15:34:41 Z,10.10.10.10,10.10.10.30,1,tcp
222,2015-10-20 15:34:41 Z,10.10.10.30,10.10.10.10,3,tcp
223,2015-10-20 15:34:42 Z,192.168.89.2,8.8.8.8,1,udp
224,2015-10-20 15:34:42 Z,10.10.10.30,10.10.10.10,3,tcp
225,2015-10-20 15:34:43 Z,10.10.10.30,10.10.10.10,3,tcp
226,2015-10-20 15:34:44 Z,10.10.10.30,10.10.10.10,3,tcp
227,2015-10-20 15:34:45 Z,10.10.10.30,10.10.10.10,3,tcp
228,2015-10-20 15:34:46 Z,10.10.10.30,10.10.10.10,3,tcp
229,2015-10-20 15:34:47 Z,10.10.10.30,10.10.10.10,3,tcp
230,2015-10-20 15:34:48 Z,10.10.10.30,10.10.10.10,3,tcp
231,2015-10-20 15:34:49 Z,10.10.10.30,10.10.10.10,3,tcp
232,2015-10-20 15:34:50 Z,10.10.10.30,10.10.10.10,3,tcp
233,2015-10-20 15:34:51 Z,10.10.10.30,10.10.10.10,3,tcp
234,2015-10-20 15:34:52 Z,192.168.89.2,8.8.8.8,1,udp
235,2015-10-20 15:34:52 Z,10.10.10.30,10.10.10.10,3,tcp
236,2015-10-20 15:34:53 Z,10.10.10.30,10.10.10.10,3,tcp
237,2015-10-20 15:34:54 Z,10.10.10.30,10.10.10.10,3,tcp
238,2015-10-20 15:34:55 Z,10.10.10.30,10.10.10.10,3,tcp
239,2015-10-20 15:34:56 Z,10.10.10.30,10.10.10.10,3,tcp
240,2015-10-20 15:34:57 Z,10.10.10.30,10.10.10.10,2,tcp
241,2015-10-20 15:34:58 Z,10.10.10.30,10.10.10.10,2,tcp
242,2015-10-20 15:34:59 Z,10.10.10.30,10.10.10.10,2,tcp
243,2015-10-20 15:35:00 Z,10.10.10.30,10.10.10.10,2,tcp
244,2015-10-20 15:35:01 Z,10.10.10.30,10.10.10.10,2,tcp
245,2015-10-20 15:35:02 Z,192.168.89.2,8.8.8.8,1,udp
246,2015-10-20 15:35:02 Z,10.10.10.30,10.10.10.10,2,tcp
247,2015-10-20 15:35:03 Z,10.10.10.30,10.10.10.10,5,tcp
248,2015-10-20 15:35:04 Z,10.10.10.30,10.10.10.10,5,tcp
249,2015-10-20 15:35:05 Z,10.10.10.30,10.10.10.10,5,tcp
